en;score;reason;EU Party
The European harmonisation of rules on VAT rates promotes transparency and the smooth functioning of the internal market, and works as an incentive in the fight against illegal work.;0.6;Posits that EU‑wide VAT harmonisation improves transparency and fights illegal work, endorsing the principle of harmonised tax rules.;EPP-ED
This report amends our regulation, or rather clarifies it, in order to make it clear how petitions to the Committee on Petitions are received or not received, how information is given to petitioners, and so on.;0.1;"The text only describes a procedural amendment to clarify petition handling; it does not advocate any political principle or ideological position.";EFA
The members of the delegation are in Brussels with their counterparts in the European Parliament on the occasion of the 7th European Union–Mongolia Interparliamentary meeting. This meeting has strengthened the important and growing relationship between the European Parliament and the Mongolian Parliament. I wish the delegation well for the remainder of their stay in the European Union.;0.1;It merely reports a diplomatic meeting and expresses goodwill, without stating any policy stance or ideological commitment.;ALDE
They must not be repeated either, and they do not fall on us like the roof in the Parliament building in Strasbourg.;0.1;"The sentence is vague and does not contain a clear political principle or value judgment; it lacks ideological content.";EPP-ED
If Amendment 1 is adopted, then this report would become incoherent and contrary to the interests of the world’s poorest people.;0.7;The speaker argues that adopting the amendment would harm the world’s poorest people, expressing a clear concern for poverty alleviation and social equality—a recognizable ideological stance.;PES
I ask therefore for the application for referral back to committee to be withdrawn.;0.1;The request to withdraw a referral is a procedural request and does not convey any political principle or ideological belief.;EPP-ED
As set out in the Lisbon Strategy, it forms an integral part of a common employment policy. We can therefore see that the social economy has become an indispensable part of ensuring stable and sustainable economic growth, by virtue of the crucial role it plays in solving new social problems. Its role has also been strengthened in traditional sectors, such as commerce, agriculture and industry.;0.6;The passage endorses the social economy as essential for sustainable growth and solving social problems, indicating a commitment to a mixed‑economy/social‑welfare policy perspective.;EPP-ED
I support the report and anticipate a new approach on the part of the European Commission, involving organisational and financial support for the social economy, such as the simplification of the administrative procedures for obtaining EU funding.;0.7;The speaker explicitly supports EU organisational and financial backing for the social economy, showing a clear policy preference for state‑supported social initiatives.;UEN
No mention was made of the willing and free exchange between buyer and seller in order to produce the profit which can then be reinvested to create jobs. For that reason, I was against this report.;0.7;The objection is based on the lack of reference to free exchange and profit reinvestment, signalling a strong preference for market freedom and liberal economic principles.;EPP-ED
It must remain high on the EU health policy agenda, as one in four people will experience a depressive illness at least once in their lives, and by 2020 it will be the most common illness in the developing world. This must change.;0.5;The text calls for keeping mental‑health issues high on the EU health agenda, a policy priority that reflects a value placed on public health but without a broader ideological framing.;EPP-ED
Therefore, we urgently need to update mental health legislation that can properly develop an awareness of the importance of good mental health. The message I have been trying to get across in my constituency in the West Midlands is that the media, the internet, schools and workplaces all have a vital role to play in making the public aware.;0.5;The speaker urges updated mental‑health legislation and public awareness, indicating a policy‑oriented stance on health but lacking an explicit broader ideological commitment.;PES
The ageing of Europe’s population is linked to an increase in the number of people who fall victim to age-related diseases.;0.0;The sentence only describes a demographic‑health correlation and does not advocate any political principle or policy.;UEN
Are we not allowing human society to exist in a way that enables people to develop and live in a normal, healthy way?;0.0;A rhetorical question about a “normal, healthy way” expresses a general value but lacks a concrete political stance or policy recommendation.;DEM
Of course, we can apply new technology and new research with all the will in the world, but if we continue to have a system where, despite all the innovation, governments tell individual fishermen in detail how much they can fish, then all the applied research will be a complete waste of time. It is time to scrap the common fisheries policy.;0.7;Explicitly opposes the EU Common Fisheries Policy and calls for its abolition, advocating reduced government regulation of the fishing sector – a clear policy position.;EPP-ED
VAT reductions will help most the people who need it most – the people who earn less than others. We also need to stress that we have to allow Member States to reduce VAT on certain items to battle against climate change.;0.8;Advocates lower VAT for low‑income earners and flexibility for Member States to cut VAT on items for climate reasons, showing clear fiscal and environmental policy preferences.;PES
I recognise that some of my fellow Members had not properly understood the significance of our amendment, but the strong signal sent by Parliament on this issue remains.;0.2;"Mentions a “strong signal” from Parliament without specifying which principle is being defended; the statement is vague and does not articulate a concrete ideological stance.";EPP-ED
We have to ensure that a free society has the right tools and the right measures in order to fight and defeat those who would destroy it.;0.2;"Calls for a “free society” to have tools against threats, but offers no concrete policy or principle; it remains a generic expression of values.";EPP-ED
Our position in relation to that and our involvement in the European Union have been written into protocol. That mandate expires on 15 March 2009. Ireland will continue to make its contribution in a peacekeeping role, whether this is through the UN or the European Union.;0.3;States Ireland’s willingness to contribute to peacekeeping via the UN or EU, indicating a mild commitment to international cooperation but without a clear policy stance.;EPP-ED
I still prefer, and declare my support for, the original version of paragraph 43 that ends, ‘security proposals that the Russian Federation has recently advanced would seriously undermine the credibility of EU security structures and strike a wedge into the EU-US relationship’. Having attended this week’s session of the EU-Russia Cooperation Committee, I came to the conclusion that we cannot ignore what our colleague, Mr Vatanen, has called a ‘brutal reality’ – namely that the strategic goal of the Russian Federation is still, alas, to split the EU partners into good and bad ones and to emasculate NATO.;0.8;Strongly condemns Russian security proposals that could undermine EU structures and NATO, articulating a clear foreign‑policy and security position.;EPP-ED
What a needless waste of resources and time. We must remember the vital role that NATO has played, but we must also not forget that part of NATO is burden-sharing. If we move towards a purely EU defence mechanism, then it will be mostly Britain and France who share that burden, while others hide behind it.;0.7;Criticises a shift to a purely EU defence mechanism and defends NATO’s burden‑sharing role, expressing a definite stance on defence and alliance policy.;EPP-ED
We are looking for the Lisbon Treaty to be approved in Ireland.;0.8;Explicitly supports the approval of the Lisbon Treaty in Ireland, signalling a clear pro‑EU integration position.;EPP-ED
I would like to mention four aspects on which we should, in my opinion, focus our activities. Thirdly, we need to focus on ensuring security and stability in Europe. In this instance, I am referring solely to Europe’s energy security. Fourthly, we need increased mobility and a cultural and educational exchange. We need a separate debate on the subject of the Eastern partnership in the European Parliament.;0.7;Advocates specific EU policies – energy security, increased mobility, cultural‑educational exchange and a debate on the Eastern Partnership – indicating a clear stance on European integration and security.;EPP-ED
It may be possible for petitions and correspondence with petitioners to be drafted in other languages used in Member State (such as Basque and Galician).;0.5;Supports drafting EU petitions in regional languages (Basque, Galician), reflecting a position on linguistic rights and multiculturalism within the Union.;PES
The application of intellectual property criteria, the direct link between research and production via company specialists, the operation of centres according to private-sector financial criteria and the need for them to be funded by companies and sponsors brings research within the maximum profit rationale.;0.6;Criticises profit‑driven research funding and private‑sector IP criteria, expressing a normative view that research should not be subordinated to market profit motives.;NGL
On the mandate of the Council, the European Strategy Forum on Research Infrastructures (ESFRI) started developing a coordinated approach for activities in the field of research infrastructures in April 2002. Although it is indicated that the objective of the legal framework proposed is to facilitate the establishment of these infrastructures, experience has shown that it is generally the more developed countries which benefit most. However, we do not agree that the establishment of large-scale infrastructure should only allow the creation of more opportunities to achieve research excellence in certain areas, meaning that certain countries will be the main beneficiaries of this process.;0.6;Opposes a research‑infrastructure regime that favours wealthy member states, calling for a more equitable distribution of benefits across the EU.;NGL
The proposal for a new common legal entity could be a step in this direction and the wordings of the proposal indicate that the Commission has a sound awareness of the importance of, and special working conditions involved in, research. I have therefore voted against the Commission’s proposal and the report.;0.4;Votes against a Commission proposal on a research legal entity, signalling opposition to the specific policy but without articulating a broader principle.;DEM
Research infrastructures are playing an increasingly important role in the advancement of knowledge and technology by offering unique research services to users in different countries.;0.1;"Merely states that research infrastructures are important; no explicit political principle or policy prescription is presented.";EPP-ED
Children themselves are asking to be consulted and want their opinions and perspectives, their hopes and dreams to form part of efforts to build a world suited to them. In pursuing the Millennium Development Goals we should pay greater attention, in all our strategies, initiatives and funding decisions, to the priorities set by children for children.;0.5;Calls for children’s perspectives to shape MDG strategies and funding, advocating a participatory, child‑focused approach to development policy.;PES
It is clear that society must take responsibility for safeguarding the rights of children, for reducing child mortality in poor countries and for combating all forms of child exploitation. The measures necessary to safeguard children’s rights are, and must remain, a matter for the national parliaments to decide. If international cooperation is considered necessary, it should be sought within the framework of the United Nations, not the European Union. In spite of these reservations, I have chosen to vote in favour of the report.;0.8;Argues that safeguarding children’s rights should remain a national parliamentary competence, rejecting EU involvement – a clear stance on national sovereignty versus supranational authority.;DEM
Overall, the thrust of this report is very good, highlighting as it does the need for special consideration to be given to children in EU external actions.;0.2;Provides a positive assessment of a report’s emphasis on children in EU external actions, but does not advance a concrete policy position.;EPP-ED
The participating parties, employers, hired workers and government institutions must understand that this procedure is best able to help them forecast the economic and social consequences of changes in a company's environment. For this reason all European employers and hired workers must know and recognise this European Social Model procedure.;0.5;Emphasises the importance of the European Social Model procedure for employers and workers, reflecting support for a coordinated EU social‑policy framework.;ALDE
We hope that Member States will take this into account, thereby guaranteeing all employees the same rights to information and consultation. We also hope that the European Commission will submit an evaluation report on the results achieved through the application of Directive 2002/14/EC as regards strengthening the social dialogue.;0.45;Advocates guaranteeing equal employee rights to information and consultation and calls for EU evaluation of a directive – a clear but modest stance on workers’ rights and EU oversight.;NGL
While we generally encourage the consistent and effective transposition of EU law, we nevertheless considered that it was appropriate to abstain on this vote.;0.35;Expresses a general support for consistent transposition of EU law, indicating a pro‑EU integration principle, but does not elaborate further.;EPP-ED
It is important to link the social economy with the goals of social cohesion and active citizenship, taking into account the character of the local social economy and its role in encouraging active participation.;0.5;Calls for linking the social economy with social cohesion and active citizenship, showing a clear preference for a socially cohesive, participatory society.;ALDE
We did not in every instance manage to get our opinions accepted, and the final resolution is therefore not entirely satisfactory. We recognise that the social economy can help to strengthen economic and social development and increase democratic participation, particularly if conditions exist for support and it is not used to undermine universal public services that are accessible to the whole population. It should be borne in mind that the social economy cannot replace the resources and public management of public services, but can be an important addition.;0.65;States that the social economy should complement, not replace, public services and promote democratic participation – a specific view on the balance between public provision and third‑sector activity.;NGL
There are, however, a number of recommendations for new European measures in this report which we are unable to accept.;0.15;"Only notes inability to accept unspecified EU recommendations; lacks any articulated political principle.";EPP-ED
We agree that the social economy plays an important role in today’s society, but we cannot support it being subject to different rules to other undertakings. It is not possible to draw a clear distinction between different types of undertaking and we do not believe that cooperatives and mutual societies should be favoured over small companies, for example, in respect of the possibilities for funding and other forms of aid.;0.7;Opposes preferential treatment for cooperatives and mutual societies, insisting on equal rules for all undertakings – a firm stance on market regulation and fairness.;EPP-ED
Furthermore, participants in the social economy can integrate manufacturing processes with the aims of social well-being in their activities, and they also promote self-management. For the efficient functioning of the social economy, an appropriate legal framework is needed, meaning the legal recognition of its components whether they be foundations, cooperatives or other associations.;0.6;Calls for a legal framework that formally recognises foundations, cooperatives and other social‑economy entities, indicating a clear regulatory preference.;EPP-ED
Overall, it constitutes 10% of Europe’s enterprises and 6% of the labour market. The social economy, which is also referred to as the solidarity economy and the third sector, is a key instrument for attaining the Lisbon objectives. It possesses a significant potential for creating jobs and can effectively be employed to achieve the objective of economic growth. The third sector plays a leading role in the European economy, combining profitability and solidarity. Europeans dread losing their jobs and expect decent treatment. The European Union and the Member States must respond to real needs, create real opportunities and build new hopes, for the good of all Europeans. The European Commission should not only promote the social economy, but should also undertake real action to develop a legal framework, within which entities such as cooperatives, mutual societies, associations and foundations may operate, as well as drawing up a programme offering financial support, advice and training to existing enterprises and to those that are yet to be established.;0.85;Strongly promotes the social/solidarity economy as a driver of jobs and growth, demands EU action, legal frameworks and financial support – an explicit ideological commitment to a solidarity‑based EU economic policy.;PES
We as legislators, social workers and with responsibilities within our communities need to focus on early diagnosis and early intervention in order to combat the stigma. So promoting mental health in children is an investment for the future. Research shows that providing resources for schools for our young students can improve child development and reduce bullying, anxiety and depressive symptoms.;0.55;Advocates early diagnosis, school resources and mental‑health investment, reflecting a welfare‑oriented policy position on public health and education.;UEN
The restructuring of the mental health system being promoted serves the interests of capital, capitalist restructurings and the commercialisation of health, rather than the interests of patients.;0.92;Explicitly condemns the restructuring of mental health services as serving capitalist interests rather than patients, a clear anti‑capitalist, pro‑patient ideological stance.;NGL
Finally, I am pleased that the report makes a clear distinction between neurodegenerative disorders, such as Alzheimer’s disease, and mental illnesses. Alzheimer’s disease is indeed a very particular type of illness which should not be treated in the same way as mental illnesses.;0.1;"The statement only distinguishes medical categories; it contains no political principle or policy recommendation.";EPP-ED
Similarly, it is said that by 2010 depression will become the most common illness in modern society.;0.1;A factual claim about future depression rates without any normative or political stance.;EPP-ED
In the EU, some 59 000 suicides are committed each year, 90% of which are attributable to mental disorder. We need to focus as much on mental health issues as we do on physical health.;0.4;Calls for equal focus on mental health as on physical health, a vague health‑policy preference but without a clear ideological framework.;EPP-ED
Efficient energy use should be one of the most important cornerstones of the EU energy policy being created. As no essential measures are being taken, over the next 20 – 30 years Europe's dependency on imported energy (currently 50% of our energy is imported) may reach 70%, and some Member States may become even more dependent. Moreover, measures in this area have a great influence on the competitiveness of European industry and the opportunity to achieve the goals of the Lisbon Strategy. More efficient energy use may reduce the burden on the most vulnerable consumers and eradicate energy poverty.;0.7;Advocates efficient energy use as a cornerstone of EU policy, linking it to energy independence, competitiveness and consumer protection – a clear policy position on EU energy strategy.;ALDE
This analysis should serve to monitor the difficulties and, if necessary, take appropriate support measures aimed at achieving the proposed objective for energy efficiency. It also seems important to support the provisions which reinforce the exemplary role of the public sector and to recognise that increasing the energy efficiency of buildings has immense potential for the reduction of greenhouse gas emissions and the fight against climate change, in terms both of the adaptation and of tackling the causes of climate change.;0.8;Supports public‑sector leadership and energy‑efficiency measures to cut greenhouse‑gas emissions and fight climate change, expressing a definite stance on environmental and regulatory policy.;NGL
The public needs to know that this is the most economical way of combating climate change. In the current situation, where energy is used as a political tool, the importance of this fact cannot be underestimated. Since 1990, energy production in the EU has risen by 40%, and revenue by 1/3, while energy demand has risen by only 11%. More rational energy management has thus contributed to economic growth in all the Member States. Energy efficiency and action to save energy should play a key role in both curtailing rising demand and in reducing the amount of fuel burned. The European economy must become less vulnerable to fluctuating energy prices and inflation, as well as to the risk inherent in the geopolitical location of these resources.;0.85;Strongly argues that energy efficiency is the most economical climate‑change solution, calling for reduced dependence on volatile energy markets – a firm ideological commitment to climate‑economy policy.;EPP-ED
In my country, Malta, both fishing and aquaculture are given special attention. We have to ensure that in the fields of fisheries and aquaculture, priority be given to applied research. That is why it is imperative to have full cooperation in this field between scientists, fishermen and aquacultural operators.;0.2;"Emphasises research cooperation in Malta’s fisheries and aquaculture; no broader political principle or EU‑wide policy stance is presented.";PES
I am therefore extremely critical of parts of the EU’s fisheries policy. I am, however, critical of possible interpretations of the report that could lead to more money being used to provide financial support to the European fishing industry and to increase this industry’s status.;0.6;Explicitly critical of parts of the EU’s fisheries policy and of increased financial support for the sector, indicating an oppositional ideological position toward current EU regulation.;ALDE
I congratulate myself on having, at that time, referred to the huge importance of guaranteeing more and better technological development in the area of fisheries and aquaculture. I therefore believe that this own-initiative report is timely and is extremely important in terms of pursuing the objectives of the new reform of the common fisheries policy (CFP).;0.6;Expresses support for a reform of the Common Fisheries Policy, showing a clear preference for policy change within the EU fisheries framework.;EPP-ED
I am opposed to the common fisheries policy and believe that fisheries management should be a competence of Europe's maritime nations working in cooperation with each other.;0.8;States opposition to the Common Fisheries Policy and argues that fisheries management should be a competence of individual maritime nations, a strong ideological claim about national sovereignty over the sector.;EFA
It is important to support increased investment in research into the consequences of the fisheries policy for fish stocks, ecosystems and biodiversity. We are extremely critical of parts of the EU’s fisheries policy on environmental grounds.;0.7;Advocates increased research and criticises EU fisheries policy on environmental grounds, expressing a clear environmental‑sustainability principle for EU action.;ALDE
I voted in favour of the Cederschiöld report because I believe that the ability for European citizens to work and live in another Member State is an important right. I support the report's intention to facilitate the mobility of professionals and to guarantee the safety of consumers.;0.9;Explicitly supports the free‑movement right of EU citizens to work and live in other Member States, a core EU integration principle.;NGL
At present, around 2% of the EU’s inhabitants live and work in a Member State other than their own.;0.1;"Provides only a factual statistic about mobility; no advocacy or ideological stance is expressed.";EPP-ED
We must encourage labour force migration and facilitate professional mobility as much as possible by speeding up the exchange of information between the original Member State and the host Member State. According to the statistics on the complaints received by SOLVIT in 2007, 20% of them concerned the recognition of professional qualifications required to pursue a regulated profession. Furthermore, the information contained in this professional card will provide support to both employers and consumers, while also being beneficial to unregulated and non-harmonised professions.;0.8;Calls for encouraging labour‑force migration and faster recognition of professional qualifications, clearly endorsing a mobility‑and‑integration policy.;EPP-ED
Supporting the maintenance of the moratorium, opposing all proposals regarding new types of whaling, accepting that all whaling operations by IWC members should be brought under IWC control and supporting proposals aimed at ending ‘scientific whaling’ outside IWC control are some of the premises of this report that I consider to be essential. Ensuring that the EU defines its political position on this subject and taking the lead in pursuing objectives relating to respect for biodiversity and the sustainable development of our planet are fundamental objectives which the EU must embrace.;0.85;Strongly supports a moratorium on whaling, promotes biodiversity and sustainable development, and urges the EU to lead on these environmental objectives.;EPP-ED
When these issues are dealt with at international level, cooperation should be sought within the framework of the International Whaling Commission, not the EU. In spite of this objection on grounds of principle, I have chosen to vote in favour of the report.;0.6;Argues that whaling issues should be handled by the International Whaling Commission rather than the EU, reflecting a principle about the appropriate jurisdiction for environmental policy.;DEM
For instance, the distribution of audiovisual goods is too often hampered by a lack of knowledge of the differences in national legislation. Unfortunately, however, often the legislation adopted by the European Community is not sufficiently publicised in Italy. For this reason, greater legislative transparency is needed, particularly on copyright and consumer protection law and fiscal and labour law. Lastly, it is vital to boost the Observatory’s capacity for monitoring new developments such as new consumption models for audiovisual products, in particular videogames and the Internet.;0.6;Calls for greater legislative transparency and better monitoring of audiovisual market regulations, expressing a principle of regulatory openness and consumer protection.;PES
Firstly, I believe that it is vital for us to have maximum transparency on the audiovisual market and to ensure that as many institutions as possible have access to relevant information in this field. This is the only way that we can have real competition and meet the economic growth targets set by the Lisbon Strategy. Secondly, it seems important to me that the Observatory brings together both EU Member States and European states outside the Community, offering an important cohesion factor at the level of all European countries. This will enable us not only to interconnect the whole continent, but also facilitate the free movement of goods and services from the audiovisual sector, thereby considerably expanding this market.;0.75;Advocates transparency, competition, and free movement of audiovisual goods and services to meet EU growth targets, indicating a clear market‑integration stance.;EPP-ED
Measures such as forcing employers to check third-country workers’ residence permits and the financial and criminal penalties provided for employers highlight the efforts of the Community and Member States to coordinate their immigration and illegal labour policies. In fact, at a time when the European Union is facing an increased population decline, we must bear in mind that the solution is not to expel but regulate the situation of these workers.;0.8;Supports coordinated immigration controls that regulate, rather than expel, third‑country workers, emphasizing a regulated‑migration and labour‑rights principle.;PES
The proposal aims to prevent the exploitation of illegally staying third-country nationals by employers and to strengthen the rights of workers. The person who is to be punished in the event of illegal employment is the employer who breaks the law, not the worker. Other countries have legislation, but it is not implemented or observed. The proposal that we are voting on today has many shortcomings. However, the alternative is to have no directive at all and therefore less protection for the four to eight million illegally staying third-country nationals who are currently working illegally within the EU and who, in their very vulnerable situation, are repeatedly exploited by employers. While it is important to prevent illegal immigration and the exploitation of illegally staying third-country nationals, we must also ensure that we increase the opportunities for people to settle and seek work within the EU on a legal basis. This is regulated in other directives that we, in the European Parliament, have been involved in negotiating over the last year.;0.85;Defends stronger worker protections for illegally staying third‑country nationals and calls for legal pathways, showing a firm commitment to immigration‑rights and labour‑policy principles.;ALDE
This would change the balance of power between employees and employers in a way that would virtually eliminate the problem.;0.4;The statement advocates changing the balance of power between employees and employers, indicating a stance on labor relations, but it is vague and does not specify concrete policy measures.;PES
The aim of this directive is to complement the shameful ‘Return’ Directive – which the Socialist Government in Portugal has adopted – by applying sanctions to employers of illegally staying workers and laying down, as a general and automatic rule, the procedure for expelling these workers, with rare exceptions.;0.85;Clearly opposes the ‘Return’ Directive, calls for sanctions on employers of illegally staying workers, and criticises a socialist government – an explicit stance on immigration enforcement and employer liability.;NGL
It is obvious that these measures only offer a partial, incomplete solution to illegal immigration and black labour. EU Member States must start from now to follow a common, consistent policy on the issue of illegal immigration.;0.75;Calls for a common EU policy on illegal immigration, expressing a clear principle that EU member states should adopt consistent, coordinated measures.;EPP-ED
The proposal aims to prevent the exploitation of illegally staying third-country nationals by employers and to strengthen the rights of workers. The person who is to be punished in the event of illegal employment is the employer who breaks the law, not the worker. Other countries have legislation, but it is not implemented or observed. The proposal that we are voting on today has many shortcomings. However, the alternative is to have no directive at all and therefore less protection for the four to eight million illegally staying third-country nationals who are currently working illegally within the EU and who, in their very vulnerable situation, are repeatedly exploited by employers. While it is important to prevent illegal immigration and the exploitation of illegally staying third-country nationals, we must also ensure that we increase the opportunities for people to settle and seek work within the EU on a legal basis. This is regulated in other directives that we, in the European Parliament, have been involved in negotiating over the last year.;0.85;Advocates strengthening workers' rights, punishing employers for illegal employment, and improving legal pathways for third‑country nationals – a detailed political position on labour and migration policy.;ALDE
The proposal aims to prevent the exploitation of illegally staying third-country nationals by employers and to strengthen the rights of workers. The person who is to be punished in the event of illegal employment is the employer who breaks the law, not the worker. Other countries have legislation, but it is not implemented or observed. The proposal that we are voting on today has many shortcomings. However, the alternative is to have no directive at all and therefore less protection for the four to eight million illegally staying third-country nationals that are currently working illegally within the EU and who, in their very vulnerable situation, are repeatedly exploited by employers. While it is important to prevent illegal immigration and the exploitation of illegally staying third-country nationals, we must also ensure that we increase the opportunities for people to settle and seek work within the EU on a legal basis. This is regulated in other directives that the European Parliament has been involved in negotiating over the last year.;0.85;Repeats the same clear ideological commitment as ID 3, supporting employer penalties and better protection for illegally staying workers, reflecting a strong policy stance.;EPP-ED
The report on the proposal for a regulation of the European Parliament and of the Council concerning crop statistics comes with a number of supplementary elements required to improve the application of the new provisions. The impact of these regulations on European agriculture will establish a greater capacity to respond to the problems which can crop up in the market, such as overproduction, which can lead to falling prices.;0.3;Mentions regulation of crop statistics and market impacts, but the text is largely technical and does not express a definite political principle or ideology.;EPP-ED
In order to provide better support for the different types of wines, not only traditional types but also those referred to in the present report, we need however simple, flexible regulations which comply with European principles for promoting quality. At the same time, we need better cooperation between Member States, European institutions, producers, as well as producer and distributor organisations. These products are renowned worldwide and, thanks to the new provisions, we will successfully achieve a better position on the market for them, while supporting Community producers and distributors.;0.4;Calls for flexible regulations and cooperation in the wine sector, suggesting a preference for market flexibility, yet the statement lacks a concrete ideological claim.;EPP-ED
Today we voted on the report on reduced rates of VAT. These amendments highlight that reduced VAT rates would have a positive impact in reshaping many service sectors as they would reduce the level of undeclared work. With regard to the housing sector, it is possible to apply reduced VAT rates to renovation and repair work aimed at increased energy savings and efficiency. The proposal goes back to the summer of 2008 and proposes the addition of certain other locally supplied services, including restaurant services. Also, the category of pharmaceutical products is widened to cover all absorbent hygiene products, particularly children's nappies and medical equipment for the disabled.;0.7;Advocates reduced VAT rates to stimulate sectors, reduce undeclared work, and promote energy efficiency – a clear position on tax policy and economic regulation.;PES
While keen to facilitate the operation of SMEs, we must not jeopardise the fundamental principles of the EU. In this case, the single market is protected as the rules in this document will apply to companies which operate only locally, thus avoiding market distortions. For all these reasons I voted in favour of this report, which I regard as a perfect example of the policies to be adopted by the European Parliament in the economic field.;0.7;Emphasizes protecting the EU single market while supporting SMEs, expressing a principle of market integrity and limited distortion – a distinct economic ideology.;EPP-ED
We stress that it is for Member States to decide when it is appropriate to apply these measures.;0.6;Affirms that Member States should decide when to apply measures, reflecting a clear stance on national sovereignty and subsidiarity within the EU.;EPP-ED
It is the view of our delegation that a reduction in VAT in Denmark would have an extremely modest effect on employment combined with a problematic loss of revenue for the state. In view of the current economic crisis, there may, however, be more of a need in other EU Member States to utilise the instrument of VAT as one element of their national crisis packages and thus strengthen employment in sectors that have been badly affected.;0.7;Advocates a specific fiscal policy (VAT reduction) as a tool for employment during a crisis, showing a clear stance on tax policy and economic intervention.;PES
In the UK a general reduction in VAT has led to a fall in inflation of 1% and an injection into the economy of GBP 12 billion.;0.1;Provides a factual observation about VAT reduction effects in the UK without endorsing or opposing any political principle.;PES
Once again the anti-Americanism so prevalent in the EU put its citizens’ safety in jeopardy. This whole issue shows the importance of each Member State retaining the right to act independently in matters of foreign policy and intelligence.;0.9;Explicitly calls for each Member State to retain independent authority over foreign policy and intelligence, a clear endorsement of national sovereignty.;EPP-ED
I give this opinion as coordinator of the Group of the European People’s Party (Christian Democrats) and European Democrats for the former TDIP temporary committee and for the subsequent working group within the Committee on Civil Liberties, Justice and Home Affairs. The aforesaid committee decided to send a questionnaire to each Member State in order to clarify what developments had taken place following the European Parliament’s investigation. I do not therefore think it wise to adopt a new text claiming to make new conclusions when in reality we have nothing new to make public.;0.1;Discusses procedural considerations within a parliamentary committee without expressing a political principle or structural preference.;EPP-ED
This is totally unacceptable and contravenes the principles of modern democracy.;0.2;Criticizes an unspecified action as contrary to democracy, but does not articulate a concrete political principle or policy prescription.;DEM
Firstly, I would like to emphasise that, from a procedural perspective, the political groups which signed this resolution ought to have waited for the replies from the national parliaments to the letter from President Pöttering dated 9 February 2009, which requested details of the measures taken by Member States following the February 2007 resolution on this matter. As regards Romania, Commissioner Barrot mentioned in his speech during the last part-session that he closely monitored the measures which the Romanian authorities took during this investigation. I believe that Romania has entirely demonstrated good will in its cooperation and has supplied the Commission and European Parliament with all the necessary information, as well as with all the results of the investigations carried out on this matter.;0.1;Focuses on procedural timing and cooperation of a single member state, lacking any expressed ideological stance.;EPP-ED
I think that the reasoning behind a number of such serious accusations is part of the same commitment assumed by European governments to respect and promote the fundamental freedoms, rights and values of the European Union on behalf of which the draft resolution has been initiated.;0.6;Affirms commitment to EU fundamental freedoms, rights and values, indicating support for European integration and liberal democratic principles.;EPP-ED
We have consistently supported the drafting of this resolution and approved the joint resolution as tabled on behalf of four European Parliamentary groups.;0.2;Simply states support for a resolution without specifying the underlying political principle or policy goal.;PES
Even though there are contentious elements in the CIA resolution, like welcoming the EU-US agreements on judicial cooperation and extradition, I still voted in favour of the resolution to support human rights and the attempt to shed light on the extraordinary renditions programme.;0.8;Supports human‑rights‑focused EU‑US judicial cooperation and transparency on extraordinary renditions, showing a clear ideological position on human rights and international law.;NGL
Furthermore, I hope the EU institutions can together make progress on this issue before the next WHA meeting in May.;0.1;Expresses a hopeful wish for progress without naming any concrete political principle or structural recommendation.;EPP-ED
As regards the intergovernmental dimension, I feel that we need to establish a clear timetable of meetings at ministerial level involving the 27 Member States with their counterparts from the Eastern Partnership countries. Belarus’s authoritarian regime must understand that the EU stipulates as a firm condition of any cooperation the need to respect democratic principles and human rights. I feel that the Eastern Partnership’s parliamentary dimension is important because it ensures this project’s democratic legitimacy. The meetings of the future parliamentary assembly must contribute to the adoption of this project, both by the parties in power and the opposition forces which may offer an alternative government, based on democratic logic.;0.85;Advocates that EU cooperation must be conditioned on respect for democratic principles and human rights, explicitly stating how the EU‑Eastern Partnership should be structured around democracy.;EPP-ED
The report insultingly calls for the international political and military presence of the EU – in other words its imperialist interventions throughout the world – to be strengthened. The report defends the EU's imperialist action in various areas of the world, such as the Western Balkans, where it has already established the EULEX police/judicial force in Kosovo, the Middle East as a whole, Georgia, Africa and elsewhere, and is looking to become even stronger.;0.9;Calls for strengthening the EU’s international military presence and defends its ‘imperialist’ interventions, a clear stance on an interventionist foreign‑policy principle.;NGL
Its content ranges from the most blatant violations of international law, interference and interventionism to poorly concealed ambitions of political and economic control by the EU’s major powers.;0.3;Condemns EU violations of international law and ambitions of control, but does not explicitly propose a guiding principle or preferred institutional arrangement.;NGL
In this regard, relations with Russia, Ukraine, Georgia and Belarus are worthy of note. The EU can also exert a positive influence on the situation in the Middle East.;0.2;Only mentions that the EU can have a positive influence in various regions without advocating a specific principle or policy direction.;UEN
